2557;2557;ESTACION DE SERVICIO DANIEL GARCIA;SANTANDER;KR 22 30 32;;BUCARAMANGA;KR 22 30 32
2558;2558;CAFETERIA MINIMERCADO JAIRO CJ;BOGOTA;KR 22 33 A 00;;BOGOTÁ D.C.;KR 22 33 A 00
2559;2559;DROGUERIA JE ORTIZ;SANTANDER;KR 22 35 51;;BUCARAMANGA;KR 22 35 51
2560;2560;ATP COMUNICACIONES;BOGOTA;KR 22 45 20;;BOGOTÁ D.C.;KR 22 45 20
2561;2561;DROG CAFAM BOG PALERMO;BOGOTA;KR 22 45 C 34;;BOGOTÁ D.C.;KR 22 45 C 34
2562;2562;ALMACEN DE DETALLES GAVI;BOGOTA;KR 22 6 38 SUR;;BOGOTÁ D.C.;KR 22 6 38 SUR
2563;2563;CABINAS TELEFONICAS T COMUNICAMOS;BOGOTA;KR 22 65 98 SUR;;BOGOTÁ D.C.;KR 22 65 98 SUR
2564;2564;EL CARNAVAL DE FRUTAS Y HELADOS;TOLIMA;KR 22 66 02;;IBAGUÉ;KR 22 66 02
2565;2565;DROGUERIA NUEVA SALUD M;CUNDINAMARCA;KR 22 7 37 SUR;;MADRID;KR 22 7 37 SUR
2566;2566;CASTA KATA;BOGOTA;KR 22 8 50 LC 2;;BOGOTÁ D.C.;KR 22 8 50 LC 2
2567;2567;LD COMUNICACIONES;VALLE DEL CAUCA;KR 22 A 1 28;;CALI;KR 22 A 1 28
2568;2568;INALDROGAS;BOGOTA;KR 22 B 62 A 09 SUR;;BOGOTÁ D.C.;KR 22 B 62 A 09 SUR
2569;2569;EL NUEVO BOSQUE;ANTIOQUIA;KR 22 CL 08 13;;LA CEJA;KR 22 CL 08 13
2570;2570;DROGUERIA LOS GIRASOLES L G;BOGOTA;KR 22 G 60 48 SUR LC 24;;BOGOTÁ D.C.;KR 22 G 60 48 SUR LC 24
2571;2571;LA GRANJA YARA - YARO SAS;QUINDIO;KR 23 10 A 1 LC 4 PR GRANADA;;ARMENIA (QUINDIO);KR 23 10 A 1 LC 4 PR GRANADA
2572;2572;DROGUERIA GENESIS;VALLE DEL CAUCA;KR 23 13A 125;;CALI;KR 23 13A 125
2573;2573;DROGUERIA OLAYA;CALDAS;KR 23 14 65;;MANIZALES;KR 23 14 65
2574;2574;DROGUERIA LUZ;QUINDIO;KR 23 19 44;;ARMENIA (QUINDIO);KR 23 19 44
2575;2575;DROGAS DON SALUDERO NO. 1;CALDAS;KR 23 20 50 LC 3;;MANIZALES;KR 23 20 50 LC 3
2576;2576;GLOBAL CELL MANIZALES;CALDAS;KR 23 24 29 LC 26;;MANIZALES;KR 23 24 29 LC 26
2577;2577;APUESTAS MARTHA LUCIA COMFANDI PRADO;VALLE DEL CAUCA;KR 23 26 B 54;;CALI;KR 23 26 B 54
2578;2578;ALMACEN AUTOLLAVES # 2;CALDAS;KR 23 28 21 CENTRO;;MANIZALES;KR 23 28 21 CENTRO
2579;2579;DROGUERIA SOCIAL;CESAR;KR 23 28 55;;VALLEDUPAR;KR 23 28 55
2580;2580;ASTRO VIDEO DEL SUR;VALLE DEL CAUCA;KR 23 3 59;;CALI;KR 23 3 59
2581;2581;DROGUERIA SAN FRANCISCO;CALDAS;KR 23 30 29;;MANIZALES;KR 23 30 29
2582;2582;CAFETERIA LA ESTACION DEL PAN;META;KR 23 35 41 LC C1;;VILLAVICENCIO;KR 23 35 41 LC C1
2583;2583;INTER REDX.LAS MARIAS.COM;SANTANDER;KR 23 37 37;;BUCARAMANGA;KR 23 37 37
2584;2584;DROGUERIA PROVIDENCIA;META;KR 23 37 83;;VILLAVICENCIO;KR 23 37 83
2585;2585;DROGUERIA NUEVA ARLEQUIN;BOGOTA;KR 23 41 01;;BOGOTÁ D.C.;KR 23 41 01
2586;2586;MERCALDAS LA CALLEJA;CALDAS;KR 23 47 30;;MANIZALES;KR 23 47 30
2587;2587;DROGUERIA PLAZA 51;CALDAS;KR 23 49 57 BR VERSALLES;;MANIZALES;KR 23 49 57 BR VERSALLES
2588;2588;DROGUERIA SAN FRANCISCO 2;CALDAS;KR 23 51 63;;MANIZALES;KR 23 51 63
2589;2589;MERCAFURR;SANTANDER;KR 23 52 70;;BUCARAMANGA;KR 23 52 70
2590;2590;DROGUERIA PLAZOLETA 23;ANTIOQUIA;KR 23 56 HE 34;;MEDELLIN;KR 23 56 HE 34
2591;2591;LAN CONECTION CAFE INTERNET;ATLANTICO;KR 23 57 10;;BARRANQUILLA;KR 23 57 10
2592;2592;MERCALDAS LAS PALMAS;CALDAS;KR 23 58 04;;MANIZALES;KR 23 58 04
2593;2593;EL COMANDO OPITA;BOGOTA;KR 23 63 A 01;;BOGOTÁ D.C.;KR 23 63 A 01
2594;2594;CARULLA CABLE PLAZA;CALDAS;KR 23 65 149;;MANIZALES;KR 23 65 149
2595;2595;CHARCUTERIA DOMICILIOS;CALDAS;KR 23 72 69 MILAN;;MANIZALES;KR 23 72 69 MILAN
2596;2596;CONAPUESTAS SAN JOSE DEL GUAVIARE;GUAVIARE;KR 23 8 86;;SAN JOSÉ DEL GUAVIARE;KR 23 8 86
2597;2597;COINVERCOL CIA LTDA;VALLE DEL CAUCA;KR 23 A 13 07;;CALI;KR 23 A 13 07
2598;2598;MEGAMAS LOS ROBLES;ATLANTICO;KR 23 A 74 03 EQ;;SOLEDAD;KR 23 A 74 03 EQ
2599;2599;DROGAS SERVI ECONOMIA;BOGOTA;KR 23 C 32 61 SUR;;BOGOTÁ D.C.;KR 23 C 32 61 SUR
2600;2600;EXITO MINIMERCADO VILLA LIGIA;CESAR;KR 23 CL 5;;VALLEDUPAR;KR 23 CL 5
2601;2601;DROGAS CELESTIAL J;BOGOTA;KR 23C 32 07 SUR;;BOGOTÁ D.C.;KR 23C 32 07 SUR
2602;2602;DROGAS CELESTIAL J 2;BOGOTA;KR 23C 32 07 SUR;;BOGOTÁ D.C.;KR 23C 32 07 SUR
2603;2603;FARMAPLUS CAPELLANIA II;CUNDINAMARCA;KR 24 14 18;;FUNZA;KR 24 14 18
2604;2604;COMUNICACIONES ARTEAGA;NARIÑO;KR 24 17 78;;PASTO;KR 24 17 78
2605;2605;DARSALUD NO 78;VALLE DEL CAUCA;KR 24 18 01;;PALMIRA;KR 24 18 01
2606;2606;FAVA RESTREPO;BOGOTA;KR 24 18 11 LC 101 Y 102;;BOGOTÁ D.C.;KR 24 18 11 LC 101 Y 102
2607;2607;DISTRIBUIDORA DE DROGAS N 02;BOGOTA;KR 24 2 B 66;;BOGOTÁ D.C.;KR 24 2 B 66
2608;2608;GESTIONES SUMINISTROS Y RESULTADOS;NARIÑO;KR 24 20 58 ED CENTRO DE NEGOCIOS KRISTO REY DE PASTO;;PASTO;KR 24 20 58 ED CENTRO DE NEGOCIOS KRISTO REY DE PASTO
2609;2609;ALMACEN DE COMPRA VENTA COMERCIALIZADORA LA CONFIANZA;ATLANTICO;KR 24 31 48;;BARRANQUILLA;KR 24 31 48
2610;2610;DISTRIBUIDORA KATY;MAGDALENA;KR 24 36 21 LC 2;;SANTA MARTA;KR 24 36 21 LC 2
2611;2611;ALMACEN DE COMPRA VENTA LA 24;ATLANTICO;KR 24 38 03;;BARRANQUILLA;KR 24 38 03
2612;2612;COMUNICACIONES C.R.C;BOGOTA;KR 24 41 28;;BOGOTÁ D.C.;KR 24 41 28
2613;2613;EXITO CALARCA;QUINDIO;KR 24 41 30;;CALARCÁ;KR 24 41 30
2614;2614;CAFE INTERNET MONTE VIDEO 2;BOGOTA;KR 24 42 55;;BOGOTÁ D.C.;KR 24 42 55
2615;2615;EXITO EXPRESS PALERMO;BOGOTA;KR 24 45 A 45;;BOGOTÁ D.C.;KR 24 45 A 45
2616;2616;DROGUERIA VISION VIVIR;BOGOTA;KR 24 45 C 42;;BOGOTÁ D.C.;KR 24 45 C 42
2617;2617;FARMASANAR;BOGOTA;KR 24 49 37;;BOGOTÁ D.C.;KR 24 49 37
2618;2618;DROGAS SALUD SOCIAL DE LA 24 _ 2;BOGOTA;KR 24 5 04;;BOGOTÁ D.C.;KR 24 5 04
2619;2619;LIBRERIA PAPELERIA Y MISCELANEA DINAMICA;BOGOTA;KR 24 52 53;;BOGOTÁ D.C.;KR 24 52 53
2620;2620;DROGUERIA SOCIAL # 28;BOGOTA;KR 24 52 66;;BOGOTÁ D.C.;KR 24 52 66
2621;2621;EXITO EXPRESS GALERIAS;BOGOTA;KR 24 52 74;;BOGOTÁ D.C.;KR 24 52 74
2622;2622;DROGUERIA UNICA DEL NORTE LTDA;BOGOTA;KR 24 74 43;;BOGOTÁ D.C.;KR 24 74 43
2623;2623;ESTACION DE SERVICIO LA GLORIETA N 2;VALLE DEL CAUCA;KR 24 A 1 B N 04;;BUGA;KR 24 A 1 B N 04
2624;2624;DROGUERIA PROMO SALUD D;CUNDINAMARCA;KR 24 A 2 10 SUR;;SOACHA;KR 24 A 2 10 SUR
2625;2625;EXITO EXPRESS PADRE MARIANITO;ANTIOQUIA;KR 24 B 17 110;;MEDELLIN;KR 24 B 17 110
2626;2626;DROGUERIA PRODESCUENTOS;BOGOTA;KR 24 D 6 49 SUR;;BOGOTÁ D.C.;KR 24 D 6 49 SUR
2627;2627;JOYERIA DIANA 20;VALLE DEL CAUCA;KR 24 L 85 03;;CALI;KR 24 L 85 03
2628;2628;BOTICA JUNIN 17 COMPLEX;ANTIOQUIA;KR 25 12 SUR 59 LC 113 - 114;;MEDELLIN;KR 25 12 SUR 59 LC 113 - 114
2629;2629;BOTICA JUNIN 40 SAN PEDRO DE LOS MILAGROS;ANTIOQUIA;KR 25 12 SUR 59 LC 113 - 114;;SAN PEDRO (ANT);KR 25 12 SUR 59 LC 113 - 114
2630;2630;APUESTAS MARTHA LUCIA DESEPAZ;VALLE DEL CAUCA;KR 25 121 COMFANDI;;CALI;KR 25 121 COMFANDI
2631;2631;DROGUERIA DEL SUR;NARIÑO;KR 25 16 04;;PASTO;KR 25 16 04
2632;2632;BEDOYA Y BEDOYA LTDA;BOGOTA;KR 25 17 75;;BOGOTÁ D.C.;KR 25 17 75
2633;2633;MACRO FARMA EXPRESS;SANTANDER;KR 25 19 76;;BUCARAMANGA;KR 25 19 76
2634;2634;EXITO LAS PENITAS SINCELEJO;SUCRE;KR 25 22 133;;SINCELEJO;KR 25 22 133
2635;2635;DROGAS LA 25;SUCRE;KR 25 23 17;;SINCELEJO;KR 25 23 17
2636;2636;DROGUERIA RYR ANTONIO RICAUTE;META;KR 25 24 63;;VILLAVICENCIO;KR 25 24 63
2637;2637;DROGAS DANVAL;META;KR 25 29 29;;VILLAVICENCIO;KR 25 29 29
2638;2638;BOTICA JUNIN #6 - DEL ESTE;ANTIOQUIA;KR 25 3 45 LC 114 MALL;;MEDELLIN;KR 25 3 45 LC 114 MALL
2639;2639;DROGUERIA LA REBAJA;SUCRE;KR 25 30 27;;COROZAL;KR 25 30 27
2640;2640;INTRASERVI SAS;SANTANDER;KR 25 30 43 CE CAÑADUZALES LC 4;;FLORIDABLANCA;KR 25 30 43 CE CAÑADUZALES LC 4
2641;2641;DROGAS 2000 2;VALLE DEL CAUCA;KR 25 33 72;;PALMIRA;KR 25 33 72
2642;2642;DROGUERIA PROSALUD;QUINDIO;KR 25 34 43;;CALARCÁ;KR 25 34 43
2643;2643;DROGUERIA NUEVA ARLEQUIN 2;BOGOTA;KR 25 41 01;;BOGOTÁ D.C.;KR 25 41 01
2644;2644;EL UNICO ASESORES DE SEGUROS;CALDAS;KR 25 45 06;;MANIZALES;KR 25 45 06
2645;2645;DROGUERIA SANTA INES3;CALDAS;KR 25 47 10 BR LA PARALELA;;MANIZALES;KR 25 47 10 BR LA PARALELA
2646;2646;LA ECONOMIA DROGUERIA NO 12014;SANTANDER;KR 25 49 77;;BARRANCABERMEJA;KR 25 49 77
2647;2647;DROGAS ERY KA;BOGOTA;KR 25 49 B 45 SUR;;BOGOTÁ D.C.;KR 25 49 B 45 SUR
2648;2648;DROGUERIA PUNTOFARMA NO 30 TUNAL;BOGOTA;KR 25 50 A SUR 43;;BOGOTÁ D.C.;KR 25 50 A SUR 43
2649;2649;8MM RENTA VIDEOS;CALDAS;KR 25 65 140;;MANIZALES;KR 25 65 140
2650;2650;DROGUERIA 91 - 92 NO. 4;RISARALDA;KR 25 67 B 23;;PEREIRA;KR 25 67 B 23
2651;2651;FERRETERIA EL EDEN;ANTIOQUIA;KR 25 75 01 AP 106;;MEDELLIN;KR 25 75 01 AP 106
2652;2652;LA BOTICA DE SABANALARGA;ATLANTICO;KR 25 9 102;;SABANALARGA(AT);KR 25 9 102
2653;2653;DROGUERIA VILLA DEL LAGO;VALLE DEL CAUCA;KR 25 C D 70 A 81;;CALI;KR 25 C D 70 A 81
2654;2654;DROGUERIA COPIDESCUENTOS LA ALBORADA;META;KR 25 N 4 C 45 MZ D CS 29;;VILLAVICENCIO;KR 25 N 4 C 45 MZ D CS 29
2655;2655;FARMACIA PASTEUR PLATINUM;ANTIOQUIA;KR 25 TR SUP 1 A SUR 155 - 167 - 199 LC 182;;MEDELLIN;KR 25 TR SUP 1 A SUR 155 - 167 - 199 LC 182
2656;2656;DROGUERIA SUPERIOR 3;BOYACA;KR 26 19 A 31;;DUITAMA;KR 26 19 A 31
2657;2657;DROGAS LA ECONOMIA NO 6081;SANTANDER;KR 26 30 86;;FLORIDABLANCA;KR 26 30 86
2658;2658;LA ECONOMIA DROGUERIA NO 1206;SANTANDER;KR 26 31 40;;GIRÓN;KR 26 31 40
2659;2659;DROGUERIA SAN ANDRES G 1;META;KR 26 5 64;;VILLAVICENCIO;KR 26 5 64
2660;2660;DROGUERIA SANTA MONICA;VALLE DEL CAUCA;KR 26 70 33;;CALI;KR 26 70 33
2661;2661;DROGAS COPIFAM MELGAR;TOLIMA;KR 26 8 23;;MELGAR;KR 26 8 23
2662;2662;DROGUERIA VIDALUZ;BOGOTA;KR 26 B 28 27 SUR;;BOGOTÁ D.C.;KR 26 B 28 27 SUR
2663;2663;FARMACIA DROGUILANDIA;ATLANTICO;KR 26 B 74 C 172;;BARRANQUILLA;KR 26 B 74 C 172
2664;2664;FARMACIA DROGUILANDIA 2;ATLANTICO;KR 26 B 74 C 173;;BARRANQUILLA;KR 26 B 74 C 173
2665;2665;DROGUERIA FARMACIA TORRES NO 20;ATLANTICO;KR 26 C 7 74 C 56;;BARRANQUILLA;KR 26 C 7 74 C 56
2666;2666;EXITO VECINO CUBA;RISARALDA;KR 26 CL 71 EQ;;PEREIRA;KR 26 CL 71 EQ
2667;2667;EDS TERPEL LA INTERMEDIA;ANTIOQUIA;KR 26 D 28 SUR 80;;ENVIGADO;KR 26 D 28 SUR 80
2668;2668;DROGUERIA GLOBAL PHARMACY;VALLE DEL CAUCA;KR 26 I 3 123 03;;CALI;KR 26 I 3 123 03
2669;2669;DROGUERIA SAN MARCOS DEL VALLE;VALLE DEL CAUCA;KR 26 I BIS 95 04;;CALI;KR 26 I BIS 95 04
2670;2670;GRANERO Y MISCELANEA LLEVE MAX;VALLE DEL CAUCA;KR 26 N 112 140;;CALI;KR 26 N 112 140
2671;2671;DROGAS FARMACALI # 2;VALLE DEL CAUCA;KR 26 T 123 05;;CALI;KR 26 T 123 05
2672;2672;CAFE INTERNET JEANNETTE;VALLE DEL CAUCA;KR 26A 25 02;;CALI;KR 26A 25 02
2673;2673;AUTOSERVICIOS GALERIAS S.A. CR 27;VALLE DEL CAUCA;KR 27 103 26;;CALI;KR 27 103 26
2674;2674;DROGAS AZTECA 2;ATLANTICO;KR 27 103 33;;BARRANQUILLA;KR 27 103 33
2675;2675;ALMACEN DE COMPRA VENTA LA PLAYA;ATLANTICO;KR 27 11 47;;BARRANQUILLA;KR 27 11 47
2676;2676;AUTOSERVICIO EL JARDIN CALIMIO DESEPAZ;VALLE DEL CAUCA;KR 27 121 19;;CALI;KR 27 121 19
2677;2677;DROGUERIA GRANADOS;SANTANDER;KR 27 18 05;;BUCARAMANGA;KR 27 18 05
2678;2678;FOTO DEPRISA;BOGOTA;KR 27 18 60;;BOGOTÁ D.C.;KR 27 18 60
2679;2679;GANE GANE LA 28;VALLE DEL CAUCA;KR 27 30 31;;PALMIRA;KR 27 30 31
2680;2680;DISTRIBUIDORA OCCIDENTAL DE LOTERIAS 3;VALLE DEL CAUCA;KR 27 30 60;;PALMIRA;KR 27 30 60
2681;2681;DROGUERIA DEPOSITO PROFESIONAL 17;ANTIOQUIA;KR 27 35 SUR 180;;ENVIGADO;KR 27 35 SUR 180
2682;2682;DROGAS GARANTIA LA SEBASTIANA;ANTIOQUIA;KR 27 36 SUR 34;;ENVIGADO;KR 27 36 SUR 34
2683;2683;DROGUERIA NUEVA VITAL;ANTIOQUIA;KR 27 38 D 16;;MEDELLIN;KR 27 38 D 16
2684;2684;DROGUERIA ATILA;BOGOTA;KR 27 4 58;;BOGOTÁ D.C.;KR 27 4 58
2685;2685;DROGUERIA VENUS;VALLE DEL CAUCA;KR 27 50 05;;CALI;KR 27 50 05
2686;2686;MEGAMAS SA CRA 27;ATLANTICO;KR 27 61 04;;BARRANQUILLA;KR 27 61 04
2687;2687;MEGAMAS SA CRA 27 2;ATLANTICO;KR 27 61 04;;BARRANQUILLA;KR 27 61 04
2688;2688;CAJASAN;SANTANDER;KR 27 61 78;;BUCARAMANGA;KR 27 61 78
2689;2689;DROGUERIA LA ECONOMIA DE COLOMBIA 6;ATLANTICO;KR 27 63 05 LC 1;;BARRANQUILLA;KR 27 63 05 LC 1
2690;2690;ALMACEN DE COMORA VENTA LA 64;ATLANTICO;KR 27 64 01;;BARRANQUILLA;KR 27 64 01
2691;2691;ALMACEN DE COMPRAVENTA LA 27;ATLANTICO;KR 27 70 B 103;;BARRANQUILLA;KR 27 70 B 103
2692;2692;CVE JIMENEZ NACIONAL;ATLANTICO;KR 27 70 C 35;;BARRANQUILLA;KR 27 70 C 35
2693;2693;DICOMUNICACIONES 2;VALLE DEL CAUCA;KR 27 80 19;;CALI;KR 27 80 19
2694;2694;JOYERIA DIANA 14;VALLE DEL CAUCA;KR 27 87 26;;CALI;KR 27 87 26
2695;2695;DROGAS YESUA;VALLE DEL CAUCA;KR 27 A 72 Y 37 LC 3;;CALI;KR 27 A 72 Y 37 LC 3
2696;2696;ALMACEN DE COMPRA VENTA LAS TRINITARIAS DOS;ATLANTICO;KR 27 C 58 05;;SOLEDAD;KR 27 C 58 05
2697;2697;GRANERO MIXTO EL TAMBITO;ANTIOQUIA;KR 27 G 36 D SUR 76;;ENVIGADO;KR 27 G 36 D SUR 76
2698;2698;COSMETICOS ANDREA Y ALGO MAS;VALLE DEL CAUCA;KR 28 19 120;;CALI;KR 28 19 120
2699;2699;DROGUERIA CORPSALUD N 2;VALLE DEL CAUCA;KR 28 19 87;;PALMIRA;KR 28 19 87
2700;2700;CIGARRERIA EL DORADO DE LA 28;BOGOTA;KR 28 3 09;;BOGOTÁ D.C.;KR 28 3 09
2701;2701;DIGITAL FLAME;VALLE DEL CAUCA;KR 28 34 20;;PALMIRA;KR 28 34 20
2702;2702;CASA MEDICA QUIRURGICA UNIVERSALES Y DROGUERIA S EN C S;VALLE DEL CAUCA;KR 28 44 73;;PALMIRA;KR 28 44 73
2703;2703;DROGUERIA IBERICA 24 HORAS;BOGOTA;KR 28 64 03 SUR;;BOGOTÁ D.C.;KR 28 64 03 SUR
2704;2704;MERCALDAS PALERMO;CALDAS;KR 28 67 57 BR PALERMO;;MANIZALES;KR 28 67 57 BR PALERMO
2705;2705;DROGUERIA CR 30;BOGOTA;KR 28 75 A 60;;BOGOTÁ D.C.;KR 28 75 A 60
2706;2706;FISRTPHONE;BOGOTA;KR 28 76 02;;BOGOTÁ D.C.;KR 28 76 02
2707;2707;DROGUERIA SOCIAL NO. 1;BOGOTA;KR 28 8 95;;BOGOTÁ D.C.;KR 28 8 95
2708;2708;CENTRO TECNICO ELECTRONICO CETEL;VALLE DEL CAUCA;KR 28 84 19;;CALI;KR 28 84 19
2709;2709;LA COMPLETISIMA PLAZA;VALLE DEL CAUCA;KR 28 D 72 F 175;;CALI;KR 28 D 72 F 175
2710;2710;JOYERIA DIANA 18;VALLE DEL CAUCA;KR 28 D 72 L 18;;CALI;KR 28 D 72 L 18
2711;2711;DROGUERIA LUZ ANGEL;VALLE DEL CAUCA;KR 28 D 72 S 58;;CALI;KR 28 D 72 S 58
2712;2712;AUTOSERVICIO CIUDAD DEL CAMPO;VALLE DEL CAUCA;KR 29 101 03;;CANDELARIA (VALLE);KR 29 101 03
2713;2713;DROGUERIA CASANAREÑA II;CASANARE;KR 29 22 03;;YOPAL;KR 29 22 03
2714;2714;DROGUERIA COOPSALUD N 2;CASANARE;KR 29 27 78;;YOPAL;KR 29 27 78
2715;2715;COPY EXITO DEL VALLE;VALLE DEL CAUCA;KR 29 28 47;;PALMIRA;KR 29 28 47
2716;2716;ESTACION SERVICIO AUTOMOTRIZ TERPEL LA UNION;ATLANTICO;KR 29 39 02;;BARRANQUILLA;KR 29 39 02
2717;2717;COMFI DROGAS;ANTIOQUIA;KR 29 39 B SUR 126;;ENVIGADO;KR 29 39 B SUR 126
2718;2718;FERROMATERIALES EL PLATACHO;VALLE DEL CAUCA;KR 29 41 109;;CALI;KR 29 41 109
2719;2719;ELLIS COMUNICACIONES;SANTANDER;KR 29 42 49 LC 103;;BUCARAMANGA;KR 29 42 49 LC 103
2720;2720;LICORERA Y CIGARRERIA LA 29;META;KR 29 44 08;;VILLAVICENCIO;KR 29 44 08
2721;2721;DARSALUD NO 68;VALLE DEL CAUCA;KR 29 45 84;;CALI;KR 29 45 84
2722;2722;JOYERIA DIANA 19;VALLE DEL CAUCA;KR 29 72 O 55;;CALI;KR 29 72 O 55
2723;2723;CIGARRERIA GUIDOS;BOGOTA;KR 29 77 80;;BOGOTÁ D.C.;KR 29 77 80
2724;2724;BOTICA JUNIN 19 HOSPITAL MUA ENVIGADO;ANTIOQUIA;KR 29 A 36 E SUR 61;;ENVIGADO;KR 29 A 36 E SUR 61
2725;2725;CONSUERTE PARQUEADERO LA AVENIDA;META;KR 29 A 37 34;;VILLAVICENCIO;KR 29 A 37 34
2726;2726;ASAREEL LOCUTORIO;CORDOBA;KR 2A 31 43;;MONTERÍA;KR 2A 31 43
2727;2727;DROGAS UNIVERSAL LA CUARTA;TOLIMA;KR 3 20 107 BR LA ESTACION;;IBAGUÉ;KR 3 20 107 BR LA ESTACION
2728;2728;DROGUERIA POPULAR;CAQUETA;KR 3 10 42;;CURRILLO;KR 3 10 42
2729;2729;DROGUERIAS COPIFAM NO 1;BOYACA;KR 3 11 03;;PUERTO BOYACÁ;KR 3 11 03
2730;2730;CONSUERTE GUAMAL;META;KR 3 11 115;;GUAMAL;KR 3 11 115
2731;2731;CAFE Y JUGOS GRANO DE ORO;TOLIMA;KR 3 11 44 LC 101;;IBAGUÉ;KR 3 11 44 LC 101
2732;2732;DROGUERIA FARMA FATIMA;CUNDINAMARCA;KR 3 11 59 LC 4;;MOSQUERA (CUNDI);KR 3 11 59 LC 4
2733;2733;DROGAS SUPERBARATAS NO. 2;TOLIMA;KR 3 12 03;;IBAGUÉ;KR 3 12 03
2734;2734;DROGUERIAS COPIFAM CALLE 13;TOLIMA;KR 3 12 93;;IBAGUÉ;KR 3 12 93
2735;2735;MAXIDROGUERIA;BOYACA;KR 3 13 02;;PUERTO BOYACÁ;KR 3 13 02
2736;2736;AGENCIA LOTERIAS LTDA LA DORADA;CALDAS;KR 3 13 13 CENTRO LA DORADA;;LA DORADA;KR 3 13 13 CENTRO LA DORADA
2737;2737;FOTOSIGMA;TOLIMA;KR 3 13 21;;IBAGUÉ;KR 3 13 21
2738;2738;HIPERDROGUERIA MEDIC;CUNDINAMARCA;KR 3 13 39;;MOSQUERA (CUNDI);KR 3 13 39
2739;2739;DISTRIBUIDORA NUEVA LIBRERIA SERVILIBROS;TOLIMA;KR 3 14 09;;IBAGUÉ;KR 3 14 09
2740;2740;EXITO MOSQUERA;CUNDINAMARCA;KR 3 15 A 57 LC 102;;MOSQUERA (CUNDI);KR 3 15 A 57 LC 102
2741;2741;METRO MONTERIA;CORDOBA;KR 3 17 11;;MONTERÍA;KR 3 17 11
2742;2742;DROGAS LA MERCED;CUNDINAMARCA;KR 3 18 14;;MOSQUERA (CUNDI);KR 3 18 14
2743;2743;DROGUERIA FAMIDROGAS LA VEGA;CUNDINAMARCA;KR 3 18 41;;LA VEGA (CUNDI);KR 3 18 41
2744;2744;FERRETERIA PINTULACA;BOYACA;KR 3 2 110;;RAQUIRA;KR 3 2 110
2745;2745;COMUNICACIONES JUANES;CUNDINAMARCA;KR 3 2 64;;LENGUAZAQUE;KR 3 2 64
2746;2746;DROGUERIA LA ECONOMICA;CUNDINAMARCA;KR 3 2 K 18;;ZIPAQUIRA;KR 3 2 K 18
2747;2747;DROGAS CHAMBATA;CUNDINAMARCA;KR 3 20 05;;LA VEGA (CUNDI);KR 3 20 05
2748;2748;DROGUERIA SUPER MOSQUERA;CUNDINAMARCA;KR 3 20 08;;MOSQUERA (CUNDI);KR 3 20 08
2749;2749;METRO EXPRESS CARRERA 3;BOGOTA;KR 3 20 38;;BOGOTÁ D.C.;KR 3 20 38
2750;2750;EXITO EXPRESS CHILACOS;CUNDINAMARCA;KR 3 20 B 35;;CHÍA;KR 3 20 B 35
2751;2751;E & S COMPUTADORES LTDA;CHOCO;KR 3 27 46 QUIBDO;;QUIBDO;KR 3 27 46 QUIBDO
2752;2752;CENTRO ESPECIALIZADO UNISUR I;CUNDINAMARCA;KR 3 29 02 LC 021;;SOACHA;KR 3 29 02 LC 021
2753;2753;CENTRO ESPECIALIZADO UNISUR II;CUNDINAMARCA;KR 3 29 A 02 LC 021;;SOACHA;KR 3 29 A 02 LC 021
2754;2754;DROGUERIA SUPER DESCUENTOS;CUNDINAMARCA;KR 3 3 72;;SOPÓ;KR 3 3 72
2755;2755;HIPERDROGUERIAS LA FAVORITA 1;CUNDINAMARCA;KR 3 3 92;;TABIO;KR 3 3 92
2756;2756;DROGAS MADIXON FOMEQUE;CUNDINAMARCA;KR 3 4 25;;FÓMEQUE;KR 3 4 25
2757;2757;DROGUERIA SAN JOSE;CUNDINAMARCA;KR 3 4 31;;CHOACHÍ;KR 3 4 31
2758;2758;DROGUERIA EMPERADOR;CUNDINAMARCA;KR 3 4 63;;TABIO;KR 3 4 63
2759;2759;DROGAS COLOMBIA FARMA SUCURSAL FOMEQUE;CUNDINAMARCA;KR 3 4 84;;FÓMEQUE;KR 3 4 84
2760;2760;HOTEL ALEJANDRIA CITY;CORDOBA;KR 3 40 43;;MONTERÍA;KR 3 40 43
2761;2761;DROGUERIA COPIPHARMA 3;TOLIMA;KR 3 45 A 07 LC 1;;IBAGUÉ;KR 3 45 A 07 LC 1
2762;2762;DROGUERIA MARGY;BOGOTA;KR 3 48 Y 64 SUR;;BOGOTÁ D.C.;KR 3 48 Y 64 SUR
2763;2763;DISTRIBUIDORA ALEX.COM;VALLE DEL CAUCA;KR 3 49 120 LC 322;;CALI;KR 3 49 120 LC 322
2764;2764;CARDENAS CORTES JORGE ISAAC;CUNDINAMARCA;KR 3 5 20;;LA CALERA;KR 3 5 20
2765;2765;ANGIE S CEL2;HUILA;KR 3 5 46;;TERUEL;KR 3 5 46
2766;2766;ALL JAVIER DIAZ CABALLERO;CUNDINAMARCA;KR 3 5 61;;TABIO;KR 3 5 61
2767;2767;CELUNORTE-NORA PEREZ;BOLIVAR;KR 3 5 A 34 LC 101;;CARTAGENA;KR 3 5 A 34 LC 101
2768;2768;EL UNICO ASESORES DE SEGUROS;VALLE DEL CAUCA;KR 3 54 98;;CALI;KR 3 54 98
2769;2769;DROGAS COPIFAM MARIQUITA 2;TOLIMA;KR 3 6 03;;MARIQUITA;KR 3 6 03
